Alianza,9,162,7,4,151
PRD,68,983,33,1,949
Independiente,1,5,0,0,5
PT,13,211,10,0,201
PAN,141,1320,93,1,1226
Partido Verde,21,225,14,1,210
Convergencia,8,91,4,1,86
PRI,239,2308,139,19,2150
